novel_id	tag	gender	fullname
77022	2	0	小琴
77022	2	0	阿泽
77190	3	1	大家
77344	2	0	老爸
77346	2	0	老哥
77352	1	2	小筱
77352	1	1	阿麦
77352	1	1	阿麦
77399	2	0	夜光
77425	1	2	小舞
77450	1	1	不二周助
77450	1	1	越前龙马
77470	1	1	胤缜
77536	1	2	佐伊
77669	2	0	小鱼
77810	1	2	梦遥
77817	1	2	梦遥
77825	2	0	小六
77825	2	0	阿提娜
77868	2	0	阿如
77927	1	2	小巫
77927	2	0	小甲虫
77927	2	0	小老鼠
77957	2	0	小玉
78034	1	2	妲己
78034	2	0	帝辛
78086	2	0	小四
78086	1	1	小飞
78160	2	0	老三
78160	1	1	老大
78182	1	2	绿珠
78220	1	2	小小
78220	1	2	小小
78220	2	0	小薇
78220	2	0	阿杰
78229	2	0	亚历山大
78467	1	2	小王子
78592	2	0	小义
78592	2	0	小云
78592	1	1	阿七
78767	2	0	藕官
78892	1	1	牡丹
78940	1	1	小绵
78940	2	0	阿童
78971	3	2	维维安
79035	1	1	里奇
79073	1	2	牡丹
79629	1	2	卡特萝捷·兰开斯特
79629	2	0	威廉
79629	1	1	菲利克斯·德·勃冈第
79834	1	2	牡丹
79948	2	0	雅各
80020	1	2	克拉拉·杰克弗雷德
80020	1	2	麦耳菲斯·卡特莱特
80326	1	1	小孩
80469	1	1	小米
80469	2	0	阿雷
80626	2	0	小冰
80626	2	0	小可
80752	1	2	霏然·伤离月
80867	1	2	叶赫那拉·静芬
80867	2	0	珍妃
80894	1	2	小兰
80894	2	0	柯南
81025	1	1	春野樱
81026	2	0	胤祥
81026	2	0	胤祥
81026	1	1	胤禛
81026	1	1	胤禛
81026	2	0	胤禵
81026	2	0	胤禵
81151	2	0	小桃
81151	2	0	小琪
81151	2	0	小鱼
81193	1	1	威克斯
81250	1	1	菲尔
81275	1	2	工藤新一
81354	1	1	小林
81647	2	0	阿瑞
81676	2	0	小熊
81685	1	1	溫瑞安
81734	1	1	胭脂
81735	1	2	胭脂
81771	1	1	小天
